tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt01	short	Carmencita	Carmencita	0	1894	\N	1	Documentary,Short
tt02	short	Le clown et ses chiens	Le clown et ses chiens	0	1892	\N	5	Animation,Short
tt03	short	Poor Pierrot	Pauvre Pierrot	0	1892	\N	5	Animation,Comedy,Romance
tt04	short	Un bon bock	Un bon bock	0	1892	\N	12	Animation,Short
tt05	short	Blacksmith Scene	Blacksmith Scene	0	1893	\N	1	Short
tt06	short	Chinese Opium Den	Chinese Opium Den	0	1894	\N	1	Short
tt07	short	Corbett and Courtney Before the Kinetograph	Corbett and Courtney Before the Kinetograph	0	1894	\N	1	Short,Sport
tt08	short	Edison Kinetoscopic Record of a Sneeze	Edison Kinetoscopic Record of a Sneeze	0	1894	\N	1	Documentary,Short
tt09	movie	Miss Jerry	Miss Jerry	0	1894	\N	45	Romance
tt10	short	Leaving the Factory	La sortie de l'usine Lumière à Lyon	0	1895	\N	1	Documentary,Short
tt11	short	Akrobatisches Potpourri	Akrobatisches Potpourri	0	1895	\N	1	Documentary,Short
tt12	short	The Arrival of a Train	L'arrivée d'un train à La Ciotat	0	1896	\N	1	Documentary,Short
tt13	short	The Photographical Congress Arrives in Lyon	Le débarquement du congrès de photographie à Lyon	0	1895	\N	1	Documentary,Short
tt14	short	The Waterer Watered	L'arroseur arrosé	0	1895	\N	1	Comedy,Short
tt15	short	Around a Cabin	Autour d'une cabine	0	1894	\N	2	Animation,Comedy,Short
tt16	short	Boat Leaving the Port	Barque sortant du port	0	1895	\N	1	Documentary,Short
tt17	short	Italienischer Bauerntanz	Italienischer Bauerntanz	0	1895	\N	1	Documentary,Short
tt18	short	Das boxende Känguruh	Das boxende Känguruh	0	1895	\N	1	Short,Sport
tt19	short	The Clown Barber	The Clown Barber	0	1898	\N	\N	Comedy,Short
tt20	short	The Derby 1895	The Derby 1895	0	1895	\N	1	Documentary,Short,Sport
